PMID	MeshID	Mentions	Resource
1000017	MESH:D008223	lymphomas	MeSH|DNorm
1000018	MESH:D011086	Neonatal polycythemia|polycythemia	DNorm|MeSH
1000019	MESH:D007945	lymphocytic leukemia	MeSH
100002	MESH:D003327	coronary disease	DNorm|MeSH
100002	MESH:D003645	sudden death	DNorm|MeSH
1000020	MESH:D002277	carcinoma	MeSH
1000020	MESH:D013964	carcinoma of the thyroid gland	DNorm|MeSH
1000023	MESH:D000741	aplastic anemia|aplastic anemias	MeSH|DNorm
1000023	MESH:D000743	HA|hemolytic anemia|hemolytic anemias	DNorm|MeSH
1000025	MESH:D006973	hypertensive	MeSH|DNorm
1000033	MESH:D009765	obese|obesity	DNorm|MeSH
1000035	MESH:D013789	thalassemia|thalassemias	MeSH
1000039	MESH:D000230	adenocarcinoma	MeSH
1000039	MESH:D003110	adenocarcinoma of the colon|carcinoma of the colon	DNorm|MeSH
1000039	MESH:D006949	hyperlipemia|hyperlipidemia	DNorm|MeSH
1000040	MESH:D001943	breast cancer|breast cancers	DNorm|MeSH
1000042	MESH:D004443	hydatidosis	MeSH|DNorm
1000082	MESH:D000741	aplastic anemia	MeSH|DNorm
1000082	MESH:D014923	Wiskott-Aldrich syndrome	DNorm|MeSH
1000085	MESH:D001172	rheumatoid arthritis	MeSH|DNorm
1000085	MESH:D001778	blood coagulation	MeSH|DNorm
1000085	MESH:D004211	disseminated intravascular coagulation	MeSH|DNorm
1000085	MESH:D008103	hepatic cirrhosis	DNorm|MeSH
1000085	MESH:D008180	systemic lupus erythematosus	MeSH|DNorm
1000085	MESH:D009404	nephrotic syndrome	DNorm|MeSH
1000085	MESH:D012507	sarcoidosis	MeSH|DNorm
1000087	MESH:D005177	congenital factor XIII deficiency	DNorm|MeSH
1000090	MESH:D006099	granulomas	MeSH|DNorm
1000091	MESH:D002277	carcinoma of the bronchus	MeSH|DNorm
1000092	MESH:D009303	nasopharyngeal cancers	MeSH
1000092	MESH:D009362	metastases|metastasis	DNorm|MeSH
1000093	MESH:D014376	Tuberculosis	MeSH|DNorm
1000095	MESH:D008457	Measles|measles	MeSH
1000096	MESH:D012409	Rubella|rubella	MeSH|DNorm
1000098	MESH:D012552	schistosomiasis	MeSH|DNorm
100010	MESH:D000741	aplastic anemia	MeSH|DNorm
100010	MESH:D001172	rheumatoid arthritis	MeSH|DNorm
1000114	MESH:D012798	drooling	MeSH
1000124	MESH:D007021	hypospadias	MeSH|DNorm
1000129	MESH:D012640	audiogenic seizures|seizure	DNorm|MeSH
100013	MESH:D009765	hypothalamic obesity|obesity	DNorm|MeSH
1000136	MESH:D003638	deafness	MeSH|DNorm
1000136	MESH:D010259	paranoid	MeSH|DNorm
1000137	MESH:D011041	poisoning	DNorm|MeSH
1000139	MESH:D011618	psychoses	MeSH
1000141	MESH:D012559	Schizophrenia	MeSH|DNorm
1000143	MESH:D001523	non-schizophrenic, and non-psychiatric	MeSH|DNorm
1000147	MESH:D001008	anxiety	DNorm|MeSH
1000149	MESH:D006212	hallucination	MeSH|DNorm
1000151	MESH:D008881	migraine	DNorm|MeSH
1000169	MESH:D009542	Niemann-Pick disease	MeSH|DNorm
1000170	MESH:D001145	arrhythmias	DNorm|MeSH
1000177	MESH:D013919	Buerger's disease	MeSH|DNorm
1000178	MESH:D009461	neurological deficit	MeSH|DNorm
1000181	MESH:D010195	pancreatitis	MeSH
1000182	MESH:D006968	delayed hypersensitivity	MeSH
1000183	MESH:D006968	delayed hypersensitivity	MeSH
1000183	MESH:D010538	peritonitis|starch peritonitis	MeSH|DNorm
1000185	MESH:D011027	Tension pneumoperitoneum|pneumoperitoneum	MeSH|DNorm
1000188	MESH:D006099	granuloma	MeSH|DNorm
1000189	MESH:D012552	bilharziasis	MeSH|DNorm
100019	MESH:D009203	Myocardial infarction	DNorm|MeSH
1000195	MESH:D011655	postoperative pulmonary embolism|pulmonary embolism	DNorm|MeSH
1000197	MESH:D005334	fever|pyrexia	MeSH|DNorm
1000197	MESH:D010146	pains	MeSH|DNorm
1000205	MESH:D001660	biliary disease	DNorm|MeSH
1000205	MESH:D010182	pancreatic disease	DNorm|MeSH
1000205	MESH:D010190	pancreatitis	MeSH|DNorm
1000205	MESH:D010195	pancreatitis	MeSH
1000206	MESH:D014947	Non-fatal injuries	MeSH|DNorm
1000227	MESH:D006689	Hodgkin's disease	DNorm|MeSH
1000227	MESH:D013163	splenomegaly	MeSH|DNorm
1000259	MESH:D006689	Hodgkin's disease	DNorm|MeSH
100026	MESH:D008607	mental illness|mental retardation	MeSH|DNorm
1000260	MESH:D012507	sarcoidosis	MeSH|DNorm
1000261	MESH:D006828	molar pregnancies	DNorm|MeSH
1000265	MESH:D005265	femoral neck fracture|femoral neck fractures	MeSH|DNorm
100027	MESH:D005733	Duodenal gangliosidosis|gangliosidosis	MeSH|DNorm
1000280	MESH:D001037	aphasia	DNorm|MeSH
1000282	MESH:D004827	epileptic seizures	DNorm|MeSH
1000283	MESH:D002526	When cerebellar disorder|cerebellar disorders	DNorm|MeSH
1000283	MESH:D002528	cerebellar neoplasms	DNorm|MeSH
1000284	MESH:D002526	acute cerebellar syndrome|cerebellar haematoma|cerebellar ocular motor disorder	DNorm|MeSH
1000284	MESH:D008545	metastatic melanoma	MeSH|DNorm
1000285	MESH:D012640	seizure|seizures	DNorm|MeSH
1000286	MESH:D001926	brain death	MeSH|DNorm
1000287	MESH:D006429	hemiplegia	DNorm|MeSH
1000287	MESH:D009128	spastic|spasticity	DNorm|MeSH
100029	MESH:D014397	pulmonary tuberculosis	MeSH|DNorm
1000291	MESH:D001835	body weight	MeSH
100030	MESH:D013203	staphylococcal infection	DNorm|MeSH
100031	MESH:D010019	osteomyelitis	MeSH
100031	MESH:D013203	staphylococcal bacteremia|staphylococcal infection	DNorm|MeSH
1000316	MESH:D008171	pulmonary granulomatosis	MeSH|DNorm
1000317	MESH:D006099	granulomas	MeSH|DNorm
100032	MESH:D002446	celiac disease	MeSH
1000321	MESH:D008171	diffuse pulmonary diseases|pulmonary diseases	MeSH|DNorm
1000326	MESH:D001835	body weight	MeSH
1000327	MESH:D005234	fatty liver and kidney syndrome	DNorm|MeSH
1000327	MESH:D013577	syndrome	MeSH
1000336	MESH:D001862	bone resorption	MeSH
